os,ip,nic,target,suite name,case name,2019-10-18_result,ower
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_freqdown,blocked,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_freqmax,blocked,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_freqmin,blocked,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_managment_frequp,blocked,
redhat8,10.238.54.220,niantic,x86_64-native-linuxapp-gcc,vm_power_manager,test_vm_power_multivms,blocked,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,ixgbe_vf_get_extra_queue_information,test_disable_dcb,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,ixgbe_vf_get_extra_queue_information,test_enable_dcb,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_add_multi_exact_mac_on_vf, N/A,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_add_multi_uta_mac_on_vf,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_add_or_remove_uta_mac_on_vf,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_downlink_mirror,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_enalbe_or_disable_one_uta_mac_on_vf,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_intervm_communication,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_negative_input_commands,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_pause_rx_queues,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_pause_tx_queuse,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_pool_mirror,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_prevent_rx_broadcast_on_vf,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_uplink_and_downlink_mirror,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_uplink_mirror,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_vlan_and_pool_and_uplink_and_downlink,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_vlan_and_pool_mirror,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,sriov_kvm,test_two_vms_vlan_mirror,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_PF_igb_uio,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_PF_vfio_pci,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_VF_vfio_pci,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_interrupt_pmd,test_nic_interrupt_VM_vfio_pci,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_jumbo_nojumbo,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_jumbo_overjumbo,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_jumbo_withjumbo,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_normal_nojumbo,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_jumboframe,test_vf_normal_withjumbo,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_dpdk_2pf_2vf_1vm_iplink_macfilter,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_dpdk_2pf_2vf_1vm_mac_add_filter, N/A,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_kernel_2pf_2vf_1vm_iplink_macfilter,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_macfilter,test_kernel_2pf_2vf_1vm_mac_add_filter,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_offload,test_checksum_offload_disable,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_offload,test_checksum_offload_enable,passed,
Ubuntu1404,10.240.176.207,niantic,x86_64-native-linuxapp-gcc,vf_offload,test_tso,passed,
